sku,product_name,category,current_stock,total_demand,avg_daily_demand,days_of_inventory,inventory_status,movement_class,demand_trend,trend_pct,unit_cost,unit_price,inventory_value,excess_inventory,overstock_value,reorder_point,lead_time_days,safety_stock,recommended_action
SKU-HPC-301,Sonic Electric Toothbrush Pro,Health & Personal Care,25.0,1055.0,5.861,4.3,LOW STOCK,Fast Moving,Stable,-8.2,29.0,69.99,725.0,0.0,0.0,102,14,29,Initiate Standard Purchase Reorder
SKU-HPC-302,Collagen Peptide Powder 500g,Health & Personal Care,160.0,843.0,4.683,34.2,HEALTHY,Fast Moving,Stable,4.6,15.0,36.0,2400.0,0.0,0.0,67,12,19,Maintain Scheduled Monitoring
SKU-HPC-303,Infrared Shiatsu Neck Massager,Health & Personal Care,340.0,317.0,1.761,193.1,OVERSTOCK,Normal Moving,Stable,-4.3,22.0,54.99,7480.0,234.3,5154.6,50,20,14,Halt Replenishment & Stimulate Demand
SKU-HPC-304,Daily Multivitamin Gummies 120ct,Health & Personal Care,8.0,1712.0,9.511,0.8,STOCK-OUT / CRITICAL,Fast Moving,Increasing,24.4,8.5,22.5,68.0,0.0,0.0,69,7,20,Prioritize Immediate Replenishment
SKU-HPC-305,Aromatherapy Ultrasonic Diffuser,Health & Personal Care,180.0,31.0,0.172,1046.5,SLOW-MOVING,Slow Moving,Decreasing,-59.1,13.5,32.99,2430.0,169.7,2290.95,10,18,3,Review Purchasing Levels & Evaluate Promotional Repositioning
SKU-SPO-401,Insulated Hydro Water Bottle 32oz,Sports & Outdoors,20.0,1020.0,5.667,3.5,LOW STOCK,Fast Moving,Stable,7.7,11.0,29.99,220.0,0.0,0.0,73,10,21,Initiate Standard Purchase Reorder
SKU-SPO-402,Non-Slip High Density Yoga Mat,Sports & Outdoors,150.0,838.0,4.656,32.2,HEALTHY,Fast Moving,Stable,-1.9,16.0,38.0,2400.0,0.0,0.0,78,14,22,Maintain Scheduled Monitoring
SKU-SPO-403,Heavy-Duty Resistance Bands Set,Sports & Outdoors,480.0,337.0,1.872,256.4,OVERSTOCK,Normal Moving,Stable,-6.3,8.0,24.99,3840.0,367.7,2941.6,38,15,11,Halt Replenishment & Stimulate Demand
SKU-SPO-404,Ultralight Backpacking Tent 2-Person,Sports & Outdoors,75.0,21.0,0.117,641.0,SLOW-MOVING,Slow Moving,Increasing,33.3,98.0,199.99,7350.0,68.0,6664.0,15,28,4,Review Purchasing Levels & Evaluate Promotional Repositioning
SKU-SPO-405,Compact Camping Hammock Portable,Sports & Outdoors,95.0,804.0,4.467,21.3,HEALTHY,Fast Moving,Stable,3.5,13.0,34.99,1235.0,0.0,0.0,78,14,22,Maintain Scheduled Monitoring
