sku,product_name,category,inventory_risk_score,risk_tier,days_of_inventory,current_stock,avg_daily_demand,reorder_point,lead_time_days,risk_coverage_score,risk_depletion_score,risk_trend_score,risk_lead_time_score,recommended_action,recommendation_rationale
SKU-ELC-005,Vintage Stereo Turntable,Electronics,17,Low Risk,696.7,85.0,0.122,15,28,0.0,2.0,0.0,15.0,Review Purchasing Levels & Evaluate Promotional Repositioning,Sluggish sales velocity (0.12 units/day) with 697 days of inventory remaining. Demand momentum is decreasing (-30.8% shift). Re-evaluate purchase orders and consider markdown tests.
SKU-ELC-006,Bluetooth Conference Speaker,Electronics,41,Medium Risk,14.9,65.0,4.361,78,14,16.0,15.0,0.0,10.0,Initiate Standard Purchase Reorder,Current inventory (65 units) has breached the reorder threshold of 78 units with 14.9 days of inventory remaining. Reorder now to maintain minimum safety buffer.
SKU-ELC-007,Ergonomic Mechanical Keyboard,Electronics,78,High Risk,3.1,18.0,5.75,87,12,36.9,22.0,14.0,5.0,Initiate Standard Purchase Reorder,Current inventory (18 units) has breached the reorder threshold of 87 units with 3.1 days of inventory remaining. Reorder now to maintain minimum safety buffer.
SKU-HMK-101,Digital Air Fryer Oven 6Qt,Home & Kitchen,89,Critical,1.3,14.0,10.561,167,14,40.0,25.0,14.0,10.0,Prioritize Immediate Replenishment,"Critical stock-out risk: Current inventory of 14 units covers only 1.3 days of demand, far below supplier lead time of 14 days."
SKU-HMK-102,Stainless Steel French Press,Home & Kitchen,13,Low Risk,25.8,110.0,4.261,56,10,6.0,2.0,0.0,5.0,Maintain Scheduled Monitoring,"Inventory levels (110 units, 25.8 days coverage) are balanced with current daily consumption of 4.3 units/day and lead time of 10 days."
SKU-HMK-103,Cold Brew Iced Coffee Pitcher,Home & Kitchen,12,Low Risk,242.1,390.0,1.611,38,15,0.0,2.0,0.0,10.0,Halt Replenishment & Stimulate Demand,"Excess inventory of 293 units detected (242 days of coverage), exceeding the 60-day operational target. Working capital tied up equals $3,372.95."
SKU-HMK-104,Electric Precision Milk Frother,Home & Kitchen,100,Critical,0.0,0.0,9.322,69,7,40.0,25.0,20.0,15.0,Prioritize Urgent Replenishment (Emergency Expedite),Product is currently completely stocked out (0 units on hand) while daily demand averages 9.3 units/day. Expedited supplier delivery required to mitigate recurring revenue loss.
SKU-HMK-105,Cast Iron Dutch Oven 5.5Qt,Home & Kitchen,25,Low Risk,1573.0,140.0,0.089,11,21,0.0,2.0,8.0,15.0,Review Purchasing Levels & Evaluate Promotional Repositioning,Sluggish sales velocity (0.09 units/day) with 1573 days of inventory remaining. Demand momentum is increasing (+28.6% shift). Re-evaluate purchase orders and consider markdown tests.
SKU-HMK-106,Smart WiFi Food Scale,Home & Kitchen,13,Low Risk,20.6,92.0,4.467,67,12,6.0,2.0,0.0,5.0,Maintain Scheduled Monitoring,"Inventory levels (92 units, 20.6 days coverage) are balanced with current daily consumption of 4.5 units/day and lead time of 12 days."
SKU-HMK-107,Silicone Baking Mat Set,Home & Kitchen,76,High Risk,3.8,22.0,5.839,73,10,35.4,22.0,14.0,5.0,Initiate Standard Purchase Reorder,Current inventory (22 units) has breached the reorder threshold of 73 units with 3.8 days of inventory remaining. Reorder now to maintain minimum safety buffer.
SKU-HPC-301,Sonic Electric Toothbrush Pro,Health & Personal Care,82,Critical,4.3,25.0,5.861,102,14,36.3,22.0,14.0,10.0,Initiate Standard Purchase Reorder,Current inventory (25 units) has breached the reorder threshold of 102 units with 4.3 days of inventory remaining. Reorder now to maintain minimum safety buffer.
SKU-HPC-302,Collagen Peptide Powder 500g,Health & Personal Care,7,Low Risk,34.2,160.0,4.683,67,12,0.0,2.0,0.0,5.0,Maintain Scheduled Monitoring,"Inventory levels (160 units, 34.2 days coverage) are balanced with current daily consumption of 4.7 units/day and lead time of 12 days."
SKU-HPC-303,Infrared Shiatsu Neck Massager,Health & Personal Care,12,Low Risk,193.1,340.0,1.761,50,20,0.0,2.0,0.0,10.0,Halt Replenishment & Stimulate Demand,"Excess inventory of 234 units detected (193 days of coverage), exceeding the 60-day operational target. Working capital tied up equals $5,154.60."
SKU-HPC-304,Daily Multivitamin Gummies 120ct,Health & Personal Care,84,Critical,0.8,8.0,9.511,69,7,40.0,25.0,13.7,5.0,Prioritize Immediate Replenishment,"Critical stock-out risk: Current inventory of 8 units covers only 0.8 days of demand, far below supplier lead time of 7 days."
SKU-HPC-305,Aromatherapy Ultrasonic Diffuser,Health & Personal Care,12,Low Risk,1046.5,180.0,0.172,10,18,0.0,2.0,0.0,10.0,Review Purchasing Levels & Evaluate Promotional Repositioning,Sluggish sales velocity (0.17 units/day) with 1046 days of inventory remaining. Demand momentum is decreasing (-59.1% shift). Re-evaluate purchase orders and consider markdown tests.
SKU-SPO-401,Insulated Hydro Water Bottle 32oz,Sports & Outdoors,77,High Risk,3.5,20.0,5.667,73,10,35.8,22.0,14.0,5.0,Initiate Standard Purchase Reorder,Current inventory (20 units) has breached the reorder threshold of 73 units with 3.5 days of inventory remaining. Reorder now to maintain minimum safety buffer.
SKU-SPO-402,Non-Slip High Density Yoga Mat,Sports & Outdoors,12,Low Risk,32.2,150.0,4.656,78,14,0.0,2.0,0.0,10.0,Maintain Scheduled Monitoring,"Inventory levels (150 units, 32.2 days coverage) are balanced with current daily consumption of 4.7 units/day and lead time of 14 days."
SKU-SPO-403,Heavy-Duty Resistance Bands Set,Sports & Outdoors,12,Low Risk,256.4,480.0,1.872,38,15,0.0,2.0,0.0,10.0,Halt Replenishment & Stimulate Demand,"Excess inventory of 367 units detected (256 days of coverage), exceeding the 60-day operational target. Working capital tied up equals $2,941.60."
SKU-SPO-404,Ultralight Backpacking Tent 2-Person,Sports & Outdoors,25,Low Risk,641.0,75.0,0.117,15,28,0.0,2.0,8.0,15.0,Review Purchasing Levels & Evaluate Promotional Repositioning,Sluggish sales velocity (0.12 units/day) with 641 days of inventory remaining. Demand momentum is increasing (+33.3% shift). Re-evaluate purchase orders and consider markdown tests.
SKU-SPO-405,Compact Camping Hammock Portable,Sports & Outdoors,18,Low Risk,21.3,95.0,4.467,78,14,6.0,2.0,0.0,10.0,Maintain Scheduled Monitoring,"Inventory levels (95 units, 21.3 days coverage) are balanced with current daily consumption of 4.5 units/day and lead time of 14 days."
