sku,product_name,category,date,units_sold,current_stock,unit_price,unit_cost,lead_time_days,safety_stock,reorder_point
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-27,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-28,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-29,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-30,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-31,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-01,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-02,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-03,17.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-04,17.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-05,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-06,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-07,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-08,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-09,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-10,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-11,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-12,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-13,5.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-14,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-15,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-16,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-17,4.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-18,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-19,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-20,17.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-21,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-22,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-23,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-24,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-25,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-26,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-27,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-28,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-29,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-04-30,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-01,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-02,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-03,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-04,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-05,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-06,17.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-07,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-08,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-09,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-10,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-11,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-12,5.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-13,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-14,5.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-15,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-16,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-17,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-18,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-19,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-20,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-21,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-22,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-23,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-24,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-25,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-26,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-27,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-28,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-29,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-30,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-05-31,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-01,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-02,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-03,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-04,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-05,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-06,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-07,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-08,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-09,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-10,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-11,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-12,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-13,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-14,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-15,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-16,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-17,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-18,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-19,16.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-20,24.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-21,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-22,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-23,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-24,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-25,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-26,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-27,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-28,20.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-29,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-06-30,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-01,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-02,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-03,16.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-04,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-05,16.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-06,17.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-07,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-08,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-09,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-10,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-11,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-12,18.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-13,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-14,16.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-15,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-16,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-17,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-18,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-19,18.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-20,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-21,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-22,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-23,17.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-24,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-25,24.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-26,16.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-27,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-28,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-29,17.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-30,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-07-31,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-01,22.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-02,20.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-03,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-04,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-05,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-06,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-07,17.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-08,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-09,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-10,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-11,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-12,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-13,10.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-14,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-15,18.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-16,26.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-17,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-18,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-19,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-20,17.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-21,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-22,16.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-23,15.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-24,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-25,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-26,19.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-08-27,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-01,2.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-02,2.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-03,3.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-04,2.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-05,2.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-06,6.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-07,3.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-08,2.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-09,6.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-10,5.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-11,6.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-12,2.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-13,4.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-14,5.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-15,7.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-16,0.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-17,6.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-18,4.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-19,2.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-20,4.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-21,8.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-22,5.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-23,2.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-24,8.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-25,4.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-26,8.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-27,6.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-28,6.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-29,9.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-30,3.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-03-31,4.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-01,7.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-02,3.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-03,11.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-04,5.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-05,3.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-06,7.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-07,7.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-08,5.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-09,3.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-10,5.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-11,6.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-12,6.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-13,7.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-14,4.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-15,2.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-16,7.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-17,10.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-18,4.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-19,4.0,48.0,189.5,95.0,10,16,56
SKU-ELC-002,Smart Fitness Watch V2,Electronics,2026-04-20,3.0,48.0,189.5,95.0,10,16,56
